Chargement MNIST…
  train: (60000, 28, 28, 1) | test: (10000, 28, 28, 1)
Modèle fp32 : 6,772,500 paramètres | latent_dim=2
Cible PyTorch à battre : MSE = 0.03087685
E  1/10000 | train 0.092784 | test 0.067733 | epoch 0.21s | total 0.2s | lr 0.00030
E  2/10000 | train 0.067248 | test 0.064072 | epoch 0.17s | total 0.4s | lr 0.00060
E  3/10000 | train 0.062856 | test 0.061905 | epoch 0.17s | total 0.6s | lr 0.00090
E  4/10000 | train 0.057731 | test 0.054506 | epoch 0.17s | total 0.8s | lr 0.00120
E  5/10000 | train 0.054101 | test 0.052396 | epoch 0.17s | total 1.0s | lr 0.00150
E  6/10000 | train 0.051408 | test 0.049816 | epoch 0.18s | total 1.2s | lr 0.00150
E  7/10000 | train 0.050528 | test 0.050189 | epoch 0.18s | total 1.4s | lr 0.00150
E  8/10000 | train 0.049690 | test 0.048730 | epoch 0.17s | total 1.5s | lr 0.00150
E  9/10000 | train 0.048493 | test 0.046666 | epoch 0.17s | total 1.7s | lr 0.00150
E 10/10000 | train 0.047607 | test 0.046096 | epoch 0.17s | total 1.9s | lr 0.00150
E 11/10000 | train 0.046169 | test 0.044967 | epoch 0.17s | total 2.1s | lr 0.00150
E 12/10000 | train 0.045359 | test 0.043953 | epoch 0.17s | total 2.3s | lr 0.00150
E 13/10000 | train 0.044276 | test 0.042597 | epoch 0.17s | total 2.5s | lr 0.00150
E 14/10000 | train 0.043276 | test 0.042409 | epoch 0.17s | total 2.7s | lr 0.00150
E 15/10000 | train 0.041975 | test 0.040855 | epoch 0.17s | total 2.9s | lr 0.00150
E 16/10000 | train 0.040441 | test 0.038711 | epoch 0.17s | total 3.0s | lr 0.00150
E 17/10000 | train 0.039209 | test 0.037764 | epoch 0.17s | total 3.2s | lr 0.00150
E 18/10000 | train 0.038752 | test 0.037708 | epoch 0.17s | total 3.4s | lr 0.00150
E 19/10000 | train 0.038801 | test 0.038258 | epoch 0.17s | total 3.6s | lr 0.00150
E 20/10000 | train 0.038208 | test 0.036614 | epoch 0.17s | total 3.8s | lr 0.00150
E 21/10000 | train 0.037481 | test 0.036495 | epoch 0.17s | total 4.0s | lr 0.00150
E 22/10000 | train 0.037294 | test 0.036539 | epoch 0.18s | total 4.1s | lr 0.00150
E 23/10000 | train 0.037126 | test 0.037102 | epoch 0.18s | total 4.3s | lr 0.00150
E 24/10000 | train 0.037052 | test 0.035924 | epoch 0.17s | total 4.5s | lr 0.00150
E 25/10000 | train 0.036505 | test 0.035533 | epoch 0.17s | total 4.7s | lr 0.00150
E 26/10000 | train 0.036496 | test 0.035411 | epoch 0.17s | total 4.9s | lr 0.00150
E 27/10000 | train 0.036204 | test 0.035449 | epoch 0.17s | total 5.0s | lr 0.00150
E 28/10000 | train 0.036044 | test 0.035172 | epoch 0.17s | total 5.2s | lr 0.00150
E 29/10000 | train 0.036035 | test 0.034892 | epoch 0.18s | total 5.4s | lr 0.00150
E 30/10000 | train 0.035791 | test 0.034905 | epoch 0.17s | total 5.6s | lr 0.00150
E 31/10000 | train 0.035621 | test 0.034893 | epoch 0.17s | total 5.8s | lr 0.00150
E 32/10000 | train 0.035592 | test 0.034755 | epoch 0.17s | total 6.0s | lr 0.00150
E 33/10000 | train 0.035464 | test 0.034745 | epoch 0.17s | total 6.1s | lr 0.00150
E 34/10000 | train 0.036320 | test 0.035599 | epoch 0.17s | total 6.3s | lr 0.00150
E 35/10000 | train 0.035834 | test 0.035300 | epoch 0.17s | total 6.5s | lr 0.00150
E 36/10000 | train 0.035674 | test 0.034882 | epoch 0.17s | total 6.7s | lr 0.00150
E 37/10000 | train 0.035848 | test 0.035211 | epoch 0.17s | total 6.9s | lr 0.00150
E 38/10000 | train 0.035439 | test 0.035223 | epoch 0.17s | total 7.1s | lr 0.00150
E 39/10000 | train 0.035412 | test 0.034509 | epoch 0.17s | total 7.2s | lr 0.00150
E 40/10000 | train 0.035264 | test 0.035126 | epoch 0.18s | total 7.4s | lr 0.00150
E 41/10000 | train 0.035437 | test 0.035038 | epoch 0.17s | total 7.6s | lr 0.00150
E 42/10000 | train 0.035204 | test 0.034460 | epoch 0.17s | total 7.8s | lr 0.00150
E 43/10000 | train 0.034944 | test 0.034217 | epoch 0.18s | total 8.0s | lr 0.00150
E 44/10000 | train 0.035120 | test 0.034282 | epoch 0.17s | total 8.2s | lr 0.00150
