epoch,avg_loss,test_mse,epoch_time_s,wall_time_s,lr
1,0.09278435,0.06773318,0.207,0.215,0.000300
2,0.06724756,0.06407192,0.173,0.399,0.000600
3,0.06285553,0.06190484,0.174,0.587,0.000900
4,0.05773144,0.05450571,0.173,0.770,0.001200
5,0.05410148,0.05239634,0.174,0.958,0.001500
6,0.05140766,0.04981551,0.179,1.155,0.001500
7,0.05052810,0.05018923,0.185,1.354,0.001500
8,0.04968986,0.04872971,0.173,1.534,0.001500
9,0.04849294,0.04666645,0.173,1.726,0.001500
10,0.04760688,0.04609644,0.173,1.910,0.001500
11,0.04616850,0.04496732,0.174,2.102,0.001500
12,0.04535941,0.04395256,0.173,2.288,0.001500
13,0.04427577,0.04259690,0.174,2.480,0.001500
14,0.04327583,0.04240917,0.174,2.670,0.001500
15,0.04197479,0.04085454,0.173,2.853,0.001500
16,0.04044060,0.03871065,0.172,3.036,0.001500
17,0.03920927,0.03776409,0.173,3.220,0.001500
18,0.03875182,0.03770806,0.173,3.403,0.001500
19,0.03880104,0.03825824,0.174,3.588,0.001500
20,0.03820810,0.03661414,0.172,3.767,0.001500
21,0.03748135,0.03649470,0.174,3.951,0.001500
22,0.03729375,0.03653850,0.176,4.138,0.001500
23,0.03712628,0.03710191,0.175,4.321,0.001500
24,0.03705232,0.03592386,0.173,4.501,0.001500
25,0.03650515,0.03553285,0.171,4.682,0.001500
26,0.03649629,0.03541078,0.172,4.864,0.001500
27,0.03620412,0.03544908,0.173,5.048,0.001500
28,0.03604388,0.03517154,0.172,5.227,0.001500
29,0.03603480,0.03489244,0.176,5.414,0.001500
30,0.03579052,0.03490508,0.174,5.598,0.001500
31,0.03562094,0.03489253,0.172,5.777,0.001500
32,0.03559194,0.03475468,0.173,5.958,0.001500
33,0.03546408,0.03474452,0.173,6.148,0.001500
34,0.03631967,0.03559913,0.173,6.334,0.001500
35,0.03583448,0.03530015,0.172,6.513,0.001499
36,0.03567389,0.03488169,0.175,6.695,0.001499
37,0.03584846,0.03521081,0.172,6.874,0.001499
38,0.03543950,0.03522282,0.175,7.056,0.001499
39,0.03541152,0.03450947,0.172,7.236,0.001499
40,0.03526353,0.03512604,0.175,7.426,0.001499
41,0.03543722,0.03503787,0.174,7.608,0.001499
42,0.03520387,0.03445981,0.174,7.789,0.001499
43,0.03494384,0.03421663,0.176,7.982,0.001499
44,0.03512000,0.03428179,0.174,8.173,0.001499
45,0.03508649,0.03466513,0.174,8.354,0.001499
46,0.03547158,0.03449821,0.173,8.534,0.001499
47,0.03525218,0.03459815,0.174,8.715,0.001499
48,0.03542524,0.03489607,0.179,8.902,0.001499
49,0.03519976,0.03558823,0.177,9.086,0.001499
50,0.03610656,0.03582684,0.179,9.273,0.001499
51,0.03608782,0.03671690,0.177,9.458,0.001499
52,0.03648250,0.03519529,0.172,9.637,0.001499
53,0.03547941,0.03446540,0.174,9.818,0.001499
54,0.03510555,0.03471516,0.172,9.998,0.001499
55,0.03509422,0.03502337,0.173,10.178,0.001499
56,0.03552321,0.03494860,0.173,10.358,0.001498
57,0.03518023,0.03416406,0.172,10.538,0.001498
58,0.03507202,0.03470498,0.173,10.721,0.001498
59,0.03493099,0.03420085,0.176,10.904,0.001498
60,0.03468629,0.03395977,0.171,11.083,0.001498
61,0.03491154,0.03492018,0.172,11.265,0.001498
62,0.03486988,0.03392642,0.178,11.451,0.001498
63,0.03451207,0.03373148,0.175,11.636,0.001498
64,0.03456667,0.03398417,0.174,11.829,0.001498
65,0.03446463,0.03393483,0.173,12.009,0.001498
66,0.03449078,0.03360027,0.173,12.189,0.001498
67,0.03407162,0.03342024,0.173,12.379,0.001498
68,0.03412545,0.03336582,0.172,12.568,0.001498
69,0.03392183,0.03331736,0.173,12.755,0.001498
70,0.03405446,0.03356921,0.173,12.945,0.001498
71,0.03410033,0.03382213,0.172,13.124,0.001497
72,0.03400117,0.03335553,0.172,13.303,0.001497
73,0.03396387,0.03315613,0.173,13.483,0.001497
74,0.03392990,0.03330243,0.174,13.674,0.001497
75,0.03388636,0.03324022,0.172,13.853,0.001497
76,0.03377994,0.03341030,0.172,14.032,0.001497
77,0.03388622,0.03320692,0.173,14.213,0.001497
78,0.03370481,0.03309406,0.171,14.391,0.001497
79,0.03379341,0.03366888,0.174,14.582,0.001497
80,0.03441862,0.03478174,0.173,14.762,0.001497
81,0.03535811,0.03486790,0.175,14.945,0.001497
82,0.03496515,0.03402916,0.175,15.127,0.001497
83,0.03438793,0.03332740,0.173,15.308,0.001496
84,0.03420236,0.03373071,0.171,15.486,0.001496
85,0.03448655,0.03353130,0.171,15.665,0.001496
86,0.03426819,0.03407704,0.171,15.843,0.001496
87,0.03449061,0.03364236,0.171,16.022,0.001496
88,0.03396277,0.03302810,0.172,16.201,0.001496
89,0.03408788,0.03407282,0.172,16.389,0.001496
90,0.03503574,0.03410031,0.172,16.568,0.001496
91,0.03472193,0.03403668,0.174,16.750,0.001496
92,0.03421725,0.03356439,0.172,16.929,0.001496
93,0.03394414,0.03364125,0.172,17.108,0.001495
94,0.03383152,0.03325241,0.171,17.286,0.001495
95,0.03421610,0.03354158,0.171,17.465,0.001495
96,0.03386301,0.03310135,0.172,17.644,0.001495
97,0.03375181,0.03279658,0.172,17.823,0.001495
98,0.03346702,0.03298360,0.172,18.010,0.001495
99,0.03358244,0.03293974,0.172,18.189,0.001495
100,0.03395735,0.03286696,0.172,18.368,0.001495
101,0.03370820,0.03311300,0.172,18.547,0.001495
102,0.03339880,0.03269991,0.172,18.727,0.001494
103,0.03317043,0.03287207,0.170,18.912,0.001494
104,0.03335080,0.03291183,0.170,19.090,0.001494
105,0.03360562,0.03336306,0.171,19.268,0.001494
106,0.03454532,0.03321243,0.176,19.451,0.001494
107,0.03410122,0.03304047,0.172,19.634,0.001494
108,0.03344073,0.03265770,0.171,19.812,0.001494
109,0.03333455,0.03265324,0.172,19.997,0.001494
110,0.03325814,0.03307623,0.173,20.187,0.001494
111,0.03372898,0.03297653,0.172,20.365,0.001493
112,0.03353846,0.03331749,0.171,20.544,0.001493
113,0.03349707,0.03293194,0.172,20.723,0.001493
114,0.03360767,0.03325754,0.172,20.902,0.001493
115,0.03374921,0.03369897,0.172,21.081,0.001493
116,0.03375084,0.03257287,0.172,21.260,0.001493
117,0.03317388,0.03250875,0.172,21.447,0.001493
118,0.03334316,0.03310619,0.172,21.635,0.001492
119,0.03328265,0.03249155,0.171,21.814,0.001492
120,0.03284000,0.03257506,0.172,22.000,0.001492
121,0.03313865,0.03287500,0.171,22.179,0.001492
122,0.03514262,0.03356576,0.173,22.359,0.001492
123,0.03360514,0.03261443,0.171,22.537,0.001492
124,0.03314824,0.03251008,0.170,22.715,0.001492
125,0.03339998,0.03271361,0.172,22.894,0.001492
126,0.03321505,0.03274792,0.171,23.073,0.001491
127,0.03328024,0.03321277,0.172,23.252,0.001491
128,0.03324781,0.03267997,0.172,23.431,0.001491
129,0.03301745,0.03243297,0.171,23.610,0.001491
130,0.03300722,0.03248013,0.173,23.799,0.001491
131,0.03295999,0.03236978,0.171,23.978,0.001491
132,0.03298364,0.03233067,0.172,24.163,0.001491
133,0.03309976,0.03273953,0.172,24.354,0.001490
134,0.03353095,0.03272489,0.171,24.532,0.001490
135,0.03314716,0.03259216,0.171,24.710,0.001490
136,0.03300628,0.03240121,0.172,24.889,0.001490
137,0.03293290,0.03259608,0.172,25.069,0.001490
138,0.03310590,0.03242653,0.173,25.249,0.001490
139,0.03290023,0.03241527,0.171,25.427,0.001489
140,0.03318809,0.03278359,0.170,25.604,0.001489
141,0.03308138,0.03250131,0.171,25.783,0.001489
142,0.03279845,0.03231578,0.171,25.961,0.001489
143,0.03274962,0.03262690,0.172,26.150,0.001489
144,0.03281866,0.03226995,0.172,26.330,0.001489
145,0.03291577,0.03332740,0.173,26.520,0.001488
146,0.03339875,0.03290514,0.172,26.699,0.001488
147,0.03343420,0.03286396,0.172,26.878,0.001488
148,0.03339193,0.03290077,0.172,27.057,0.001488
149,0.03314936,0.03277886,0.172,27.237,0.001488
150,0.03289332,0.03240369,0.171,27.415,0.001488
151,0.03300601,0.03239103,0.171,27.593,0.001487
